species,pc.known,pc.inferred,pc.region,ref
Struthio_camelus,Pair,Pair,Africa,"Bertram BCR (1992) The ostrich communal nesting system. Princeton University Press: Princeton.  || Kimwele CN,  Graves JA (2003) A molecular genetic analysis of the communal nesting of the ostrich (Struthio camelus). Molecular Ecology  12: 229-236."
Rhea_americana,Cooperation,Cooperation,Neotropical,"Codenotti TL,  Alvarez F (1997) Cooperative breeding between males in the greater rhea Rhea americana. Ibis  139: 568-571. || Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Rhea_pennata,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Casuarius_casuarius,Male only,Male only,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Casuarius_bennetti,Male only,Male only,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Casuarius_unappendiculatus,Unknown,Male only,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Dromaius_novaehollandiae,Male only,Male only,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Apteryx_australis,Cooperation,Cooperation,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford.  || Colbourne R (2002) Incubation behaviour and egg physiology of kiwi (Apteryx spp.) in natural habitats. New Zealand Journal of Ecology  26: 129-138."
Apteryx_mantelli,Male only,Male only,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford.  || Colbourne R (2002) Incubation behaviour and egg physiology of kiwi (Apteryx spp.) in natural habitats. New Zealand Journal of Ecology  26: 129-138."
Apteryx_rowi,Pair,Pair,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford.  || Colbourne R (2002) Incubation behaviour and egg physiology of kiwi (Apteryx spp.) in natural habitats. New Zealand Journal of Ecology  26: 129-138."
Apteryx_owenii,Male only,Male only,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford.  || Colbourne R (2002) Incubation behaviour and egg physiology of kiwi (Apteryx spp.) in natural habitats. New Zealand Journal of Ecology  26: 129-138."
Apteryx_haastii,Pair,Pair,Australia,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford.  || Colbourne R (2002) Incubation behaviour and egg physiology of kiwi (Apteryx spp.) in natural habitats. New Zealand Journal of Ecology  26: 129-138."
Tinamus_tao,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Tinamus_solitarius,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Tinamus_osgoodi,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Tinamus_major,Male only,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
Tinamus_guttatus,Unknown,Male only,Neotropical,"Davies SJJF (2002) Ratites and tinamous: Tinamidae, Rheidae, Dromaiidae, Casuariidae, Apterygidae, Struthionidae. Oxford University Press: Oxford. "
